Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
12296.4444,0,0.424599001,0.839433183,0,1323.621539
12177.68466,0,0.444194882,0.830575304,0,1323.621539
12155.1549,0,0.450447707,0.808050239,0,1323.621539
12164.36517,0,0.454609102,0.785966272,0,1323.621539
12570.7554,0,0.458633724,0.762931977,0,1323.621539
13492.97345,0,0.468718982,0.735636101,0,1323.621539
14033.11873,0,0.474461256,0.705648781,0,1323.621539
13865.80667,0,0.479211765,0.687232387,0,1323.621539
13813.2735,0,0.490268902,0.68009453,0,1323.621539
13836.40167,0.000196362,0.489296403,0.666112198,0,1323.621539
13846.16079,0.004324014,0.485698259,0.649904355,0,1323.621539
13844.47145,0.010234457,0.443441289,0.585613,0,1323.621539
13839.22174,0.013206021,0.454629721,0.545696419,0,1323.621539
13836.78008,0.010451739,0.451856006,0.510472937,0,1323.621539
13847.38162,0.003766465,0.442284756,0.476693792,0,1323.621539
13899.55889,0.000137365,0.440542251,0.439993193,0,1323.621539
14019.51243,0,0.428318118,0.397215068,0,1323.621539
14057.64042,0,0.410464321,0.356133582,0,1323.621539
14049.95806,0,0.39432552,0.327616766,0,1323.621539
13916.24956,0,0.383641106,0.315200502,0,1323.621539
13810.94897,0,0.373040266,0.316284757,0,1323.621539
13550.93352,0,0.35516456,0.322653466,0,1323.621539
13020.74708,0,0.338314102,0.33926918,0,1323.621539
12338.78522,0,0.314042626,0.384876945,0,1323.621539
12165.0379,0,0.32615129,0.420050446,0,1323.621539
12083.22888,0,0.326459077,0.45455178,0,1323.621539
12054.11144,0,0.3179127,0.499632954,0,1323.621539
12050.69523,0,0.306271678,0.546000118,0,1323.621539
12094.15327,0,0.290886893,0.589598043,0,1323.621539
12074.23109,0,0.290050902,0.615651609,0,1323.621539
12365.81689,0,0.284684482,0.631895567,0,1323.621539
12770.06429,0,0.27927219,0.650328185,0,1323.621539
13051.08609,0,0.274067917,0.667458591,0,1323.621539
13289.90297,0.000229085,0.26587009,0.676775373,0,1323.621539
13358.31141,0.003753504,0.255440964,0.676575387,0,1323.621539
13361.28465,0.010327311,0.231959527,0.656557203,0,1323.621539
13374.12813,0.012719476,0.23210064,0.691990811,0,1323.621539
13383.16946,0.011449451,0.240287414,0.755540772,0,1323.621539
13423.41626,0.004859411,0.260919875,0.816490759,0,1323.621539
13574.17732,0.00027024,0.269690539,0.860330575,0,1323.621539
13822.923,0,0.287423714,0.879403185,0,1323.621539
13902.47507,0,0.314885841,0.900515988,0,1323.621539
13889.92291,0,0.352075814,0.914945408,0,1323.621539
13840.19179,0,0.41350986,0.920876892,0,1323.621539
13730.70915,0,0.481827459,0.922017477,0,1323.621539
13398.03564,0,0.545414711,0.921932538,0,1323.621539
13038.52643,0,0.596278127,0.922066023,0,1323.621539
12649.99663,0,0.593705095,0.922094394,0,1323.621539
12503.67365,0,0.644002724,0.928709754,0,1323.621539
12391.41825,0,0.679546692,0.931792059,0,1323.621539
12366.01811,0,0.674590975,0.930009264,0,1323.621539
12388.03356,0,0.694392729,0.929962612,0,1323.621539
12451.25536,0,0.708627092,0.93189553,0,1323.621539
12416.10962,0,0.732175677,0.93416143,0,1323.621539
12679.52476,0,0.737317667,0.934444997,0,1323.621539
13033.52298,0,0.727202716,0.932028227,0,1323.621539
13309.73806,0,0.726439571,0.933443363,0,1323.621539
13527.50503,0.00091076,0.718271384,0.929778118,0,1323.621539
13591.19684,0.061022613,0.709344915,0.927369564,0,1323.621539
13552.09429,0.210421452,0.719097817,0.91281581,0,1323.621539
13533.23977,0.253990487,0.718115778,0.895993925,0,1323.621539
13540.69088,0.170926961,0.699611056,0.885660258,0,1323.621539
13557.24639,0.036848615,0.674071539,0.879600733,0,1323.621539
13671.42915,0.000519374,0.66010411,0.843787606,0,1323.621539
13904.53531,0,0.613641626,0.784749361,0,1323.621539
13948.01212,0,0.562112499,0.745444134,0,1323.621539
13923.75773,0,0.518824042,0.735312918,0,1323.621539
13874.97715,0,0.478763827,0.670370329,0,1323.621539
13753.40485,0,0.435682501,0.633099441,0,1323.621539
13371.69998,0,0.411218579,0.620264474,0,1323.621539
12981.86076,0,0.406792535,0.622524414,0,1323.621539
12609.9015,0,0.41328408,0.726476042,0,1323.621539
12430.96153,0,0.465749898,0.744846098,0,1323.621539
12350.92518,0,0.525806619,0.808410671,0,1323.621539
12325.05954,0,0.567265336,0.863240414,0,1323.621539
12366.67582,0,0.607003627,0.898842398,0,1323.621539
12793.691,0,0.623701319,0.911471932,0,1323.621539
13685.19312,0,0.634133578,0.91341502,0,1323.621539
14277.93014,0,0.650306857,0.91920106,0,1323.621539
14146.03561,0,0.665086951,0.921946177,0,1323.621539
14117.89949,0,0.663270198,0.925099351,0,1323.621539
14172.86681,0.000948385,0.647459456,0.922137641,0,1323.621539
14205.83969,0.065304823,0.631336372,0.915669538,0,1323.621539
14189.14452,0.224894625,0.589317506,0.895500585,0,1323.621539
14184.8108,0.287814433,0.590144632,0.861371009,0,1323.621539
14174.36844,0.225345565,0.591749817,0.824473939,0,1323.621539
14188.82017,0.067582242,0.570090406,0.810181639,0,1323.621539
14282.56418,0.000904038,0.561241636,0.815196163,0,1323.621539
14423.08559,0,0.556012438,0.770273479,0,1323.621539
14451.87042,0,0.531889715,0.743771537,0,1323.621539
14420.1559,0,0.528455688,0.749532677,0,1323.621539
14351.36154,0,0.536391072,0.712944403,0,1323.621539
14254.03463,0,0.532049895,0.697807638,0,1323.621539
14002.99595,0,0.537087468,0.689626694,0,1323.621539
13510.70024,0,0.535345459,0.678347364,0,1323.621539
12743.20156,0,0.546119072,0.651027065,0,1323.621539
12594.12083,0,0.529858009,0.616860383,0,1323.621539
12450.48352,0,0.520573738,0.596786825,0,1323.621539
12396.91873,0,0.508361623,0.584275536,0,1323.621539
12374.19,0,0.473285644,0.50440947,0,1323.621539
12754.41426,0,0.437287388,0.515889826,0,1323.621539
13623.99553,0,0.411446765,0.502450038,0,1323.621539
14217.19805,0,0.381634203,0.527046483,0,1323.621539
14074.63591,0,0.335297523,0.522537783,0,1323.621539
14040.60588,0,0.314379159,0.508783087,0,1323.621539
14117.67274,0.000952248,0.295555626,0.512672037,0,1323.621539
14139.87741,0.036506199,0.271673211,0.530335946,0,1323.621539
14087.2121,0.126272726,0.225448376,0.498829288,0,1323.621539
14039.56975,0.200674381,0.204557757,0.524277383,0,1323.621539
14027.46658,0.164968324,0.185436848,0.520781666,0,1323.621539
14041.27261,0.064049577,0.177671531,0.501752078,0,1323.621539
14157.37895,0.001182198,0.162854474,0.439471846,0,1323.621539
14304.15768,0,0.144479678,0.370445974,0,1323.621539
14336.44431,0,0.132408421,0.291374092,0,1323.621539
14332.30881,0,0.12413094,0.212653882,0,1323.621539
14273.1174,0,0.122910683,0.158458689,0,1323.621539
14181.19487,0,0.120054329,0.126756416,0,1323.621539
13939.9994,0,0.120122686,0.116605578,0,1323.621539
13485.80315,0,0.119299999,0.120235631,0,1323.621539
12754.50886,0,0.122289531,0.129555058,0,1323.621539
12619.87836,0,0.132920892,0.146016358,0,1323.621539
12505.52292,0,0.136490569,0.148787188,0,1323.621539
12473.73482,0,0.136369394,0.137245397,0,1323.621539
12503.50622,0,0.130214142,0.12626412,0,1323.621539
12918.88824,0,0.120327282,0.116855747,0,1323.621539
13786.37623,0,0.119166595,0.104021238,0,1323.621539
14340.5663,0,0.116749509,0.082127655,0,1323.621539
14198.18736,0,0.109727845,0.056669749,0,1323.621539
14166.47135,0,0.104418323,0.03666282,0,1323.621539
14209.00213,0.001149424,0.100704158,0.027387489,0,1323.621539
14250.55535,0.047253288,0.096183815,0.027681156,0,1323.621539
14250.07783,0.108045555,0.107368161,0.033890497,0,1323.621539
