 138   1.54554716e+05  1.56499572e+05  4.59e-03 5.10e-05  1.12e-03  5587s
 139   1.54553056e+05  1.56489592e+05  4.47e-03 5.08e-05  1.09e-03  5632s
 140   1.54551292e+05  1.56483560e+05  4.34e-03 5.06e-05  1.05e-03  5678s
 141   1.54549492e+05  1.56477444e+05  4.21e-03 5.04e-05  1.03e-03  5724s
 142   1.54547900e+05  1.56470601e+05  4.09e-03 5.03e-05  9.99e-04  5769s
 143   1.54546640e+05  1.56466193e+05  4.00e-03 5.01e-05  9.79e-04  5807s
 144   1.54544730e+05  1.56461264e+05  3.87e-03 5.00e-05  9.50e-04  5857s
 145   1.54543627e+05  1.56453114e+05  3.79e-03 4.98e-05  9.31e-04  5901s
 146   1.54542448e+05  1.56440804e+05  3.71e-03 4.94e-05  9.06e-04  5949s
 147   1.54540833e+05  1.56437195e+05  3.60e-03 4.93e-05  8.78e-04  5995s
 148   1.54539626e+05  1.56433806e+05  3.52e-03 4.92e-05  8.58e-04  6042s
 149   1.54538483e+05  1.56430474e+05  3.45e-03 4.91e-05  8.34e-04  6091s
 150   1.54537351e+05  1.56429149e+05  3.38e-03 4.91e-05  8.19e-04  6137s
 151   1.54535533e+05  1.56425158e+05  3.26e-03 4.90e-05  7.96e-04  6182s
 152   1.54534096e+05  1.56420937e+05  3.18e-03 4.89e-05  7.67e-04  6229s
 153   1.54532774e+05  1.56414104e+05  3.09e-03 4.87e-05  7.46e-04  6276s
 154   1.54531597e+05  1.56408736e+05  3.01e-03 4.85e-05  7.25e-04  6323s
 155   1.54530559e+05  1.56405546e+05  2.95e-03 4.85e-05  7.10e-04  6370s
 156   1.54530134e+05  1.56400965e+05  2.92e-03 4.83e-05  7.00e-04  6407s
 157   1.54528697e+05  1.56395223e+05  2.83e-03 4.82e-05  6.79e-04  6454s
 158   1.54527641e+05  1.56386933e+05  2.77e-03 4.80e-05  6.63e-04  6491s
 159   1.54526691e+05  1.56380670e+05  2.71e-03 4.78e-05  6.48e-04  6536s
 160   1.54525359e+05  1.56376653e+05  2.63e-03 4.77e-05  6.32e-04  6585s
 161   1.54524282e+05  1.56371435e+05  2.57e-03 4.75e-05  6.16e-04  6631s
 162   1.54523490e+05  1.56368148e+05  2.53e-03 4.75e-05  6.05e-04  6677s
 163   1.54522550e+05  1.56366047e+05  2.48e-03 4.74e-05  5.91e-04  6724s
 164   1.54522234e+05  1.56362034e+05  2.46e-03 4.73e-05  5.84e-04  6769s
 165   1.54521620e+05  1.56359269e+05  2.42e-03 4.72e-05  5.76e-04  6810s
 166   1.54521010e+05  1.56355994e+05  2.39e-03 4.71e-05  5.68e-04  6849s
 167   1.54520126e+05  1.56350308e+05  2.34e-03 4.70e-05  5.56e-04  6894s
 168   1.54519032e+05  1.56347995e+05  2.28e-03 4.69e-05  5.40e-04  6942s
 169   1.54518269e+05  1.56344491e+05  2.24e-03 4.68e-05  5.31e-04  6988s
 170   1.54517486e+05  1.56340048e+05  2.21e-03 4.67e-05  5.19e-04  7029s
 171   1.54516279e+05  1.56336474e+05  2.14e-03 4.66e-05  5.07e-04  7075s
 172   1.54515581e+05  1.56332628e+05  2.11e-03 4.65e-05  4.98e-04  7122s
 173   1.54514510e+05  1.56329192e+05  2.06e-03 4.64e-05  4.83e-04  7167s
 174   1.54513287e+05  1.56325416e+05  2.00e-03 4.63e-05  4.65e-04  7212s
 175   1.54512317e+05  1.56323434e+05  1.95e-03 4.62e-05  4.55e-04  7261s
 176   1.54511419e+05  1.56320632e+05  1.91e-03 4.62e-05  4.44e-04  7307s
 177   1.54510302e+05  1.56319218e+05  1.86e-03 4.61e-05  4.34e-04  7354s
 178   1.54509956e+05  1.56317045e+05  1.84e-03 4.61e-05  4.30e-04  7391s
 179   1.54509456e+05  1.56312773e+05  1.82e-03 4.60e-05  4.22e-04  7437s
 180   1.54508748e+05  1.56308972e+05  1.79e-03 4.59e-05  4.16e-04  7486s
 181   1.54508305e+05  1.56303907e+05  1.76e-03 4.57e-05  4.11e-04  7532s
 182   1.54507948e+05  1.56300745e+05  1.75e-03 4.56e-05  4.07e-04  7574s
 183   1.54507696e+05  1.56295732e+05  1.73e-03 4.55e-05  4.01e-04  7618s
 184   1.54506184e+05  1.56297470e+05  1.66e-03 4.56e-05  3.88e-04  7664s
 185   1.54505236e+05  1.56291126e+05  1.62e-03 4.54e-05  3.76e-04  7709s
 186   1.54504401e+05  1.56283909e+05  1.59e-03 4.52e-05  3.66e-04  7755s
 187   1.54503727e+05  1.56282004e+05  1.56e-03 4.52e-05  3.61e-04  7796s
 188   1.54503263e+05  1.56281208e+05  1.54e-03 4.51e-05  3.57e-04  7834s
 189   1.54502963e+05  1.56279510e+05  1.52e-03 4.51e-05  3.55e-04  7872s
 190   1.54502523e+05  1.56272306e+05  1.50e-03 4.49e-05  3.49e-04  7962s
 191   1.54501582e+05  1.56266594e+05  1.46e-03 4.48e-05  3.38e-04  8050s
 192   1.54500802e+05  1.56263321e+05  1.43e-03 4.47e-05  3.30e-04  8115s
 193   1.54500413e+05  1.56262398e+05  1.41e-03 4.46e-05  3.27e-04  8158s
 194   1.54500095e+05  1.56256509e+05  1.40e-03 4.45e-05  3.22e-04  8232s
 195   1.54499400e+05  1.56252312e+05  1.37e-03 4.44e-05  3.16e-04  8280s
 196   1.54498899e+05  1.56246573e+05  1.35e-03 4.42e-05  3.11e-04  8327s
 197   1.54498633e+05  1.56240872e+05  1.33e-03 4.41e-05  3.08e-04  8367s
 198   1.54498244e+05  1.56236521e+05  1.31e-03 4.40e-05  3.04e-04  8414s
 199   1.54497566e+05  1.56229913e+05  1.29e-03 4.38e-05  2.98e-04  8458s
 200   1.54497187e+05  1.56225528e+05  1.27e-03 4.37e-05  2.94e-04  8506s
 201   1.54496726e+05  1.56220960e+05  1.25e-03 4.36e-05  2.90e-04  8551s
 202   1.54496187e+05  1.56213686e+05  1.23e-03 4.34e-05  2.84e-04  8599s
 203   1.54495701e+05  1.56212455e+05  1.21e-03 4.34e-05  2.81e-04  8637s
 204   1.54495405e+05  1.56209232e+05  1.19e-03 4.33e-05  2.78e-04  8683s
 205   1.54494687e+05  1.56202844e+05  1.17e-03 4.31e-05  2.69e-04  8730s
 206   1.54494449e+05  1.56197354e+05  1.16e-03 4.30e-05  2.66e-04  8765s
 207   1.54494139e+05  1.56192654e+05  1.14e-03 4.29e-05  2.63e-04  8800s
 208   1.54493758e+05  1.56191334e+05  1.13e-03 4.28e-05  2.61e-04  8849s
 209   1.54493505e+05  1.56189687e+05  1.13e-03 4.28e-05  2.59e-04  8885s
 210   1.54492850e+05  1.56186777e+05  1.10e-03 4.27e-05  2.53e-04  8930s
 211   1.54492198e+05  1.56181727e+05  1.08e-03 4.26e-05  2.47e-04  8976s
 212   1.54491962e+05  1.56179314e+05  1.07e-03 4.25e-05  2.45e-04  9019s
 213   1.54491778e+05  1.56177790e+05  1.06e-03 4.25e-05  2.43e-04  9058s
 214   1.54491481e+05  1.56176648e+05  1.05e-03 4.25e-05  2.41e-04  9100s
