Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
40137.06199,0,0.399249904,0.658557106,7983.408064,1543.331869
41680.54801,0,0.395947543,0.644452925,7983.408064,1543.331869
45095.20999,0,0.399285255,0.631342573,7983.408064,1543.331869
50296.62329,0,0.397509179,0.610580128,7983.408064,1543.331869
53218.10147,0,0.404383011,0.598958621,7983.408064,1543.331869
54486.54945,0.003402731,0.40569095,0.603047256,7983.408064,1543.331869
54281.73027,0.156996317,0.401179218,0.60744241,7983.408064,1543.331869
53568.88157,0.28005531,0.384645108,0.538611258,7983.408064,1543.331869
53128.53704,0.381203311,0.405307659,0.529677768,7983.408064,1543.331869
52860.6336,0.465915496,0.421827084,0.541123112,7983.408064,1543.331869
52716.32734,0.47912022,0.450096354,0.559400753,7983.408064,1543.331869
52677.29028,0.461511046,0.461158587,0.54856397,7983.408064,1543.331869
52765.44797,0.403632473,0.456629866,0.531719102,7983.408064,1543.331869
53189.29788,0.288280865,0.442576385,0.534877324,7983.408064,1543.331869
54051.86072,0.119077622,0.452610787,0.558423367,7983.408064,1543.331869
54464.21456,0.002171589,0.466428463,0.608433267,7983.408064,1543.331869
54060.60673,1.27E-05,0.474350991,0.63998946,7983.408064,1543.331869
53246.02298,0,0.476198529,0.646326005,7983.408064,1543.331869
50464.85567,0,0.4741294,0.646065694,7983.408064,1543.331869
48015.7859,0,0.492466782,0.605529532,7983.408064,1543.331869
43817.33569,0,0.487886509,0.630238028,7983.408064,1543.331869
41840.80118,0,0.489916674,0.641457721,7983.408064,1543.331869
40434.06595,0,0.501844898,0.632816066,7983.408064,1543.331869
40222.42638,0,0.510853915,0.630460935,7983.408064,1543.331869
40258.68743,0,0.512157461,0.637871068,7983.408064,1543.331869
41748.95368,0,0.503603923,0.647707701,7983.408064,1543.331869
45214.09113,0,0.498556896,0.65074226,7983.408064,1543.331869
50514.85263,0,0.490465962,0.650592505,7983.408064,1543.331869
53884.23369,0,0.489650456,0.608094307,7983.408064,1543.331869
55422.60875,0.003389049,0.494125421,0.522372898,7983.408064,1543.331869
55037.73248,0.124049067,0.489621279,0.468830719,7983.408064,1543.331869
54542.36939,0.239409372,0.446273941,0.523124866,7983.408064,1543.331869
54059.52284,0.28591948,0.495777737,0.601340225,7983.408064,1543.331869
53966.2859,0.312908128,0.502541492,0.67651557,7983.408064,1543.331869
53962.16368,0.303993556,0.487074939,0.699591057,7983.408064,1543.331869
53959.39632,0.284238561,0.457059618,0.727700305,7983.408064,1543.331869
54252.25789,0.231692265,0.415760903,0.757683851,7983.408064,1543.331869
