Demand_ftr,Demand,Avail_Sol,Avail_Wind_On,Avail_Wind_Off,Hyd_In,HydRoR_In
112941.4687,0.748589783,0,0.417299719,0.551347822,1116.704506,3161.85682
107919.3706,0.715302706,0,0.369831105,0.571641137,1116.704506,3161.85682
110998.1048,0.735708931,0,0.382784325,0.579012885,1116.704506,3161.85682
110083.472,0.729646634,0,0.393663525,0.579835502,1116.704506,3161.85682
110105.7943,0.729794589,0,0.398753428,0.58099471,1116.704506,3161.85682
110056.8592,0.729470241,0,0.407974054,0.586182224,1116.704506,3161.85682
110274.0236,0.730909633,0,0.400613803,0.589845451,1116.704506,3161.85682
117193.7963,0.776774727,0,0.402478473,0.60115304,1116.704506,3161.85682
131390.4022,0.870871557,0,0.406873958,0.612088514,1116.704506,3161.85682
140036.5555,0.928179312,0,0.412434581,0.614648131,1116.704506,3161.85682
143073.2219,0.948306706,0,0.428642303,0.620705336,1116.704506,3161.85682
144214.3729,0.955870394,0.005957337,0.447259701,0.628481321,1116.704506,3161.85682
144123.2168,0.9552662,0.154799634,0.440393917,0.633124867,1116.704506,3161.85682
143434.2247,0.950699476,0.284666156,0.357681184,0.633761473,1116.704506,3161.85682
142977.845,0.947674536,0.395528715,0.359924581,0.64376845,1116.704506,3161.85682
142525.7279,0.944677849,0.455502286,0.361690443,0.646406263,1116.704506,3161.85682
142125.8473,0.942027392,0.445055908,0.400711166,0.654847703,1116.704506,3161.85682
142178.4041,0.942375745,0.349968525,0.452914686,0.671702367,1116.704506,3161.85682
142714.3921,0.945928338,0.202324183,0.512835869,0.690237086,1116.704506,3161.85682
143971.9957,0.954263888,0.007689205,0.568777128,0.708559849,1116.704506,3161.85682
144146.368,0.955419649,0,0.598012038,0.72887091,1116.704506,3161.85682
143455.4257,0.950839999,0,0.61405335,0.756251115,1116.704506,3161.85682
137940.062,0.914283498,0,0.620010332,0.774544919,1116.704506,3161.85682
127553.7516,0.84544177,0,0.622460036,0.786012991,1116.704506,3161.85682
120038.0514,0.795626796,0,0.630024906,0.806504657,1116.704506,3161.85682
114386.3435,0.758166589,0,0.56451406,0.821511416,1116.704506,3161.85682
110790.315,0.734331675,0,0.60092598,0.818522564,1116.704506,3161.85682
109915.2148,0.728531404,0,0.617794684,0.823277626,1116.704506,3161.85682
109724.3427,0.727266281,0,0.634107638,0.830820628,1116.704506,3161.85682
109646.2387,0.726748598,0,0.646835298,0.821567881,1116.704506,3161.85682
109872.2346,0.728246526,0,0.642132074,0.832770597,1116.704506,3161.85682
116870.9331,0.774634751,0,0.628254334,0.865461147,1116.704506,3161.85682
130861.2955,0.867364573,0,0.609615942,0.842433645,1116.704506,3161.85682
139773.1304,0.926433298,0,0.580855056,0.828087877,1116.704506,3161.85682
142849.7055,0.946825212,0,0.55285467,0.827402694,1116.704506,3161.85682
144121.197,0.955252812,0.006375786,0.537418027,0.80572342,1116.704506,3161.85682
143884.8374,0.953686192,0.114287862,0.509118636,0.795610092,1116.704506,3161.85682
143056.8823,0.948198405,0.210383843,0.408674713,0.756209929,1116.704506,3161.85682
142432.2177,0.944058052,0.269125373,0.381542194,0.719446944,1116.704506,3161.85682
141908.5853,0.940587353,0.29433554,0.359705154,0.700436395,1116.704506,3161.85682
141170.9506,0.935698221,0.270585435,0.345157692,0.684199198,1116.704506,3161.85682
140750.1754,0.932909271,0.196689316,0.344574014,0.664668627,1116.704506,3161.85682
140951.8499,0.934245995,0.103052455,0.348392723,0.674688537,1116.704506,3161.85682
